source_id,title,kind,creator_or_channel,url,published_date,language,notes
yt_9LtKJ2k8UyM,Hacking Conciousness by Joscha Bach at Engineering Conciousness by AGI House,youtube,AGI House,https://www.youtube.com/watch?v=9LtKJ2k8UyM,2026-02-08,,curation_status=candidate tier=aux discovered_via=ytsearchdate:joscha_bach format=talk
yt_y0txHUVZF5I,Joscha Bach: “The Nature Of Reality is Even Weirder Than We Previously Thought”,youtube,Giant's Shoulder,https://www.youtube.com/watch?v=y0txHUVZF5I,2026-02-05,,curation_status=candidate tier=aux discovered_via=ytsearchdate:joscha_bach format=talk
yt_HTCRIX3P32M,A Cognitive Scientist’s Guide to Consciousness & The Illusion of Reality | Joscha Bach,youtube,André Duqum,https://www.youtube.com/watch?v=HTCRIX3P32M,2026-02-03,,curation_status=candidate tier=aux discovered_via=ytsearchdate:joscha_bach format=talk
yt_clGfSq2Z-2A,The Dulcinée Dialectic Trailer 2,youtube,Tao Ruspoli,https://www.youtube.com/watch?v=clGfSq2Z-2A,2026-01-25,,curation_status=reject tier=aux discovered_via=ytsearch:Joscha format=talk
yt_tAMxtfxd2Sg,Joscha Bach's Realization about Spirits,youtube,Jack Roycroft-Sherry,https://www.youtube.com/watch?v=tAMxtfxd2Sg,2026-01-20,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_pO0WZsN8Oiw,Why Every Brain Metaphor in History Has Been Wrong [SPECIAL EDITION],youtube,Machine Learning Street Talk,https://www.youtube.com/watch?v=pO0WZsN8Oiw,2026-01-18,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_PMrCvhHctOg,Philosophy’s Most Formidable Living Mind,youtube,Curt Jaimungal,https://www.youtube.com/watch?v=PMrCvhHctOg,2026-01-13,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_qM_2YyDtM5E,Joscha Bach：心智工程师&AI优生梦,youtube,形而上的回忆,https://www.youtube.com/watch?v=qM_2YyDtM5E,2026-01-07,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_X1k5u055r1Q,Cyber Animism,youtube,The Mystery,https://www.youtube.com/watch?v=X1k5u055r1Q,2025-12-04,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_AQqb6nW9F6c,On Constructing Reality with Joscha Bach,youtube,Where Shall We Meet,https://www.youtube.com/watch?v=AQqb6nW9F6c,2025-11-26,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
